dataset,model,condition,seed,is_safe,is_unsafe,max_ratio_window,step_of_max,first_step_ratio,first_step_unsafe_ratio,source_member
ag_news,medium-4,stable_with_guard,456,True,False,4.0858374250927065e-06,100,6.644164202713635e-08,6.644164202713635e-08,transformer_project/results/warmup_safety_gate_ag_news_agnews_warmup_safety_gate_v2_calibrated/early_logs/ag_news_medium-4_stable_with_guard_seed456_early_logs.json
dbpedia_14,large-6,buggy_failfast_guard,42,False,True,10.992778047648734,1,10.992778047648734,10.992778047648734,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_failfast_guard_seed42_early_logs.json
dbpedia_14,large-6,buggy_failfast_guard,123,False,True,10.984176633767834,1,10.984176633767834,10.984176633767834,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_failfast_guard_seed123_early_logs.json
dbpedia_14,large-6,buggy_failfast_guard,456,False,True,11.000147042372891,1,11.000147042372891,11.000147042372891,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_failfast_guard_seed456_early_logs.json
dbpedia_14,large-6,buggy_no_guard,42,False,True,10.992778047648734,1,10.992778047648734,10.992778047648734,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_no_guard_seed42_early_logs.json
dbpedia_14,large-6,buggy_no_guard,123,False,True,10.984176633767834,1,10.984176633767834,10.984176633767834,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_no_guard_seed123_early_logs.json
dbpedia_14,large-6,buggy_no_guard,456,False,True,11.000147042372891,1,11.000147042372891,11.000147042372891,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_no_guard_seed456_early_logs.json
dbpedia_14,large-6,buggy_rescue_guard,42,False,True,3.315698536128311e-05,96,9.605164854784372e-07,10.992778047648734,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_rescue_guard_seed42_early_logs.json
dbpedia_14,large-6,buggy_rescue_guard,123,False,True,3.444787748975687e-05,99,9.597710857603238e-07,10.984176633767834,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_rescue_guard_seed123_early_logs.json
dbpedia_14,large-6,buggy_rescue_guard,456,False,True,3.095118261079075e-05,99,9.611632516811271e-07,11.000147042372891,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_buggy_rescue_guard_seed456_early_logs.json
dbpedia_14,large-6,fixed_order_with_guard,42,True,False,3.338828085859012e-05,96,9.605164854784372e-07,9.605164854784372e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_fixed_order_with_guard_seed42_early_logs.json
dbpedia_14,large-6,fixed_order_with_guard,123,True,False,3.472303038485647e-05,99,9.597710857603238e-07,9.597710857603238e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_fixed_order_with_guard_seed123_early_logs.json
dbpedia_14,large-6,fixed_order_with_guard,456,True,False,3.1219749159016886e-05,99,9.611632516811271e-07,9.611632516811271e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_fixed_order_with_guard_seed456_early_logs.json
dbpedia_14,large-6,single_bad_first_step_then_stable,42,False,True,10.992778047648734,1,10.992778047648734,10.992778047648734,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_single_bad_first_step_then_stable_seed42_early_logs.json
dbpedia_14,large-6,single_bad_first_step_then_stable,123,False,True,10.984176633767834,1,10.984176633767834,10.984176633767834,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_single_bad_first_step_then_stable_seed123_early_logs.json
dbpedia_14,large-6,single_bad_first_step_then_stable,456,False,True,11.000147042372891,1,11.000147042372891,11.000147042372891,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_single_bad_first_step_then_stable_seed456_early_logs.json
dbpedia_14,large-6,stable_with_guard,42,True,False,7.84122737864271e-06,100,1.3889203496407732e-07,1.3889203496407732e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_stable_with_guard_seed42_early_logs.json
dbpedia_14,large-6,stable_with_guard,123,True,False,7.60187396214929e-06,99,1.3878823444808653e-07,1.3878823444808653e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_stable_with_guard_seed123_early_logs.json
dbpedia_14,large-6,stable_with_guard,456,True,False,7.016093232784503e-06,99,1.3899312272713683e-07,1.3899312272713683e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_large-6_stable_with_guard_seed456_early_logs.json
dbpedia_14,medium-4,buggy_failfast_guard,42,False,True,5.105076965398684,1,5.105076965398684,5.105076965398684,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_failfast_guard_seed42_early_logs.json
dbpedia_14,medium-4,buggy_failfast_guard,123,False,True,5.0747600248618046,1,5.0747600248618046,5.0747600248618046,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_failfast_guard_seed123_early_logs.json
dbpedia_14,medium-4,buggy_failfast_guard,456,False,True,5.117841022745161,1,5.117841022745161,5.117841022745161,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_failfast_guard_seed456_early_logs.json
dbpedia_14,medium-4,buggy_no_guard,42,False,True,5.105076965398684,1,5.105076965398684,5.105076965398684,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_no_guard_seed42_early_logs.json
dbpedia_14,medium-4,buggy_no_guard,123,False,True,5.0747600248618046,1,5.0747600248618046,5.0747600248618046,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_no_guard_seed123_early_logs.json
dbpedia_14,medium-4,buggy_no_guard,456,False,True,5.117841022745161,1,5.117841022745161,5.117841022745161,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_no_guard_seed456_early_logs.json
dbpedia_14,medium-4,buggy_rescue_guard,42,False,True,2.5517144495120855e-05,97,6.31861260467151e-07,5.105076965398684,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_rescue_guard_seed42_early_logs.json
dbpedia_14,medium-4,buggy_rescue_guard,123,False,True,2.6892084526880083e-05,100,6.280939903768778e-07,5.0747600248618046,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_rescue_guard_seed123_early_logs.json
dbpedia_14,medium-4,buggy_rescue_guard,456,False,True,2.564906294639448e-05,100,6.334284335227387e-07,5.117841022745161,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_buggy_rescue_guard_seed456_early_logs.json
dbpedia_14,medium-4,fixed_order_with_guard,42,True,False,2.566646896760501e-05,97,6.31861260467151e-07,6.31861260467151e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_fixed_order_with_guard_seed42_early_logs.json
dbpedia_14,medium-4,fixed_order_with_guard,123,True,False,2.7088065303813195e-05,100,6.280939903768778e-07,6.280939903768778e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_fixed_order_with_guard_seed123_early_logs.json
dbpedia_14,medium-4,fixed_order_with_guard,456,True,False,2.5841601214901183e-05,100,6.334284335227387e-07,6.334284335227387e-07,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_fixed_order_with_guard_seed456_early_logs.json
dbpedia_14,medium-4,single_bad_first_step_then_stable,42,False,True,5.105076965398684,1,5.105076965398684,5.105076965398684,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_single_bad_first_step_then_stable_seed42_early_logs.json
dbpedia_14,medium-4,single_bad_first_step_then_stable,123,False,True,5.0747600248618046,1,5.0747600248618046,5.0747600248618046,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_single_bad_first_step_then_stable_seed123_early_logs.json
dbpedia_14,medium-4,single_bad_first_step_then_stable,456,False,True,5.117841022745161,1,5.117841022745161,5.117841022745161,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_single_bad_first_step_then_stable_seed456_early_logs.json
dbpedia_14,medium-4,stable_with_guard,42,True,False,3.859714253977005e-06,100,6.6584366392461e-08,6.6584366392461e-08,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_stable_with_guard_seed42_early_logs.json
dbpedia_14,medium-4,stable_with_guard,123,True,False,4.0506353614483765e-06,100,6.615633351405957e-08,6.615633351405957e-08,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_stable_with_guard_seed123_early_logs.json
dbpedia_14,medium-4,stable_with_guard,456,True,False,3.395729721959338e-06,100,6.675231607873928e-08,6.675231607873928e-08,transformer_project/results/warmup_safety_gate_dbpedia_14_dbpedia_warmup_safety_gate_v2_calibrated/early_logs/dbpedia_14_medium-4_stable_with_guard_seed456_early_logs.json
